Number of nodes=8
Number of samples=10000
Cut of limit used=0.0001
total_score_ges=-402657.10951250116
total_score_pc=-402888.44738128775
total_score_mmhc=-403075.96224712994
total_score_greedySP=-403272.96796427347
total_score_gis=-402662.4817215644
total_score_gies=-402657.10951250116
total_score_ske=-402752.99791459483
total_score_gis_rec_phased_b=-402657.10951250116
total_score_true=-402697.3262150592
shd dist ges to true=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 2, 0, 0, 1, 3, 0, 0, 0, 0, 0, 1, 0, 3, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 3, 0, 1, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 3, 1, 0, 1, 3, 1, 0]
shd dist pc to true=[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 3, 0, 0, 1, 0, 0, 0]
shd dist mmhc to true=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 1, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 2, 0, 0, 1, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 3, 0, 1, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 1, 1, 3, 0, 3, 0, 1, 0]
shd dist greedySP to true=[0, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 2, 0]
shd dist gis to true=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 2, 0, 0, 1, 3, 0, 0, 0, 0, 0, 1, 0, 3, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 3, 0, 1, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 3, 1, 0, 6, 3, 1, 0]
shd dist gies to true=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 2, 0, 0, 1, 3, 0, 0, 0, 0, 0, 1, 0, 3, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 3, 0, 1, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 3, 1, 0, 1, 3, 1, 0]
shd dist ske to true=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]
shd dist gis_rec_phased_b to true=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 2, 0, 0, 1, 3, 0, 0, 0, 0, 0, 1, 0, 3, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 3, 0, 1, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 3, 1, 0, 1, 3, 1, 0]

score_vector_ges=[-4194.956608930506, -3910.119318541228, -4080.2326381643443, -3960.9384819044, -4023.295234825186, -3935.505953967456, -3934.0236037046234, -4118.1675390009095, -4087.706452629512, -4031.535207951003, -3973.9268166529623, -3971.238964547917, -4024.394976240605, -4107.311431348475, -4150.1405635100655, -4015.724109042112, -4028.0520664951873, -3985.4569380886855, -4046.4758467065867, -3994.0971740721134, -4097.309509551735, -4076.840386042695, -4041.4263431143436, -3987.510102685698, -3946.9928716670497, -4019.168451935291, -3975.03249004029, -4049.848313005556, -4074.4725076547456, -4076.2322318356864, -3956.135658752705, -3904.781370450238, -4050.357323372238, -4067.1207484863407, -3958.853007277602, -4011.4493733841528, -4053.0304590221094, -4049.2132372249293, -3956.4421751309646, -4073.0591444950805, -3950.743894477219, -4028.9206898756865, -3905.479647190747, -4055.091417422565, -4017.6875682239906, -4052.7158318099973, -3987.076198733629, -4022.644615442712, -4023.1211794490496, -4047.085465564983, -3989.1966499323344, -4128.4688299009695, -4037.6014739598613, -4238.789890502765, -4079.117564086055, -3935.938200434151, -4114.074271903707, -4041.9398481768762, -4105.2736286381, -4023.9293140777872, -3986.674157399859, -4030.9403205568874, -4071.7833965043637, -3968.3636348301816, -4076.179659443175, -3985.3639152906608, -3979.979355499475, -4109.456541527631, -3958.4725391052175, -4090.0768508645633, -4007.1422276616468, -4116.282108996671, -3978.35689939849, -3978.2297769590746, -4009.2088912175577, -4056.969057118245, -4042.4862564494088, -4059.2925225936674, -4037.1469366554884, -3916.978994062067, -4120.14530159166, -4092.3838439326105, -4016.8272626129465, -4108.311417678564, -3956.672819300632, -3945.688136284275, -4039.4392907969464, -4032.919348233876, -3898.3738666254685, -3900.0706999264776, -4081.984996227149, -4018.189325228539, -4001.714687670075, -4012.709886532921, -4045.867741692853, -4026.102003470896, -3929.9253551046886, -4070.060250087543, -4021.218986402736, -4095.6484397095373]
