Number of nodes=8
Number of samples=10000
Cut of limit used=0.0001
total_score_ges=-407373.29454142944
total_score_pc=-531574.5388579243
total_score_mmhc=-488785.73117652244
total_score_greedySP=-419932.02413156896
total_score_gis=-407378.7452837012
total_score_gies=-407245.2259641467
total_score_ske=-501775.4348581738
total_score_gis_rec_phased_b=-407245.2259641467
total_score_true=-408681.5724811584
shd dist ges to true=[26, 23, 28, 27, 26, 26, 27, 26, 22, 26, 23, 26, 20, 27, 26, 26, 28, 23, 28, 26, 28, 26, 26, 26, 25, 26, 28, 26, 20, 25, 26, 27, 26, 26, 28, 23, 27, 28, 23, 25, 25, 24, 26, 26, 22, 23, 25, 28, 28, 20, 25, 26, 27, 26, 28, 26, 27, 25, 28, 27, 25, 26, 21, 26, 26, 28, 24, 28, 23, 26, 27, 23, 23, 28, 26, 28, 27, 27, 26, 28, 26, 27, 26, 25, 25, 24, 26, 26, 26, 27, 22, 23, 26, 28, 28, 25, 26, 27, 27, 28]
shd dist pc to true=[26, 27, 24, 26, 26, 27, 25, 25, 26, 22, 25, 27, 26, 25, 21, 23, 27, 27, 23, 24, 27, 27, 24, 26, 25, 25, 26, 25, 26, 28, 25, 27, 25, 26, 24, 25, 26, 25, 26, 26, 23, 27, 25, 22, 26, 25, 26, 25, 24, 27, 27, 26, 22, 23, 24, 26, 26, 26, 27, 28, 25, 26, 27, 25, 23, 26, 24, 27, 25, 27, 28, 26, 28, 25, 23, 24, 23, 24, 23, 23, 27, 24, 25, 27, 25, 24, 25, 24, 27, 23, 28, 28, 26, 27, 25, 25, 28, 24, 23, 26]
shd dist mmhc to true=[24, 26, 23, 25, 22, 22, 24, 25, 24, 23, 27, 24, 25, 28, 22, 20, 27, 25, 25, 26, 25, 26, 24, 26, 28, 26, 25, 28, 26, 27, 26, 25, 24, 21, 20, 24, 27, 25, 28, 27, 22, 21, 26, 25, 27, 28, 26, 24, 27, 26, 26, 26, 26, 23, 21, 22, 26, 26, 18, 24, 25, 24, 24, 28, 21, 24, 26, 22, 24, 27, 19, 21, 26, 28, 19, 24, 27, 24, 24, 24, 25, 26, 22, 28, 25, 23, 27, 27, 28, 27, 26, 23, 25, 27, 24, 23, 23, 24, 25, 21]
shd dist greedySP to true=[23, 26, 25, 26, 26, 25, 23, 28, 28, 28, 23, 26, 23, 25, 26, 26, 24, 23, 27, 22, 24, 27, 27, 25, 27, 22, 26, 25, 24, 24, 27, 23, 27, 27, 26, 26, 28, 26, 26, 27, 26, 27, 20, 27, 26, 28, 28, 26, 24, 24, 27, 25, 26, 26, 26, 28, 25, 26, 26, 24, 25, 25, 23, 20, 24, 23, 26, 28, 26, 24, 24, 24, 26, 26, 26, 23, 23, 25, 26, 27, 26, 24, 26, 27, 26, 27, 26, 22, 26, 25, 25, 19, 23, 25, 24, 25, 24, 23, 26, 27]
shd dist gis to true=[24, 24, 26, 28, 25, 27, 26, 22, 26, 26, 22, 26, 26, 27, 25, 26, 27, 26, 27, 26, 27, 27, 26, 26, 27, 25, 26, 24, 27, 26, 25, 26, 25, 26, 27, 24, 25, 26, 25, 23, 28, 26, 25, 24, 26, 26, 23, 28, 26, 24, 27, 27, 28, 22, 28, 23, 26, 25, 25, 26, 26, 27, 28, 24, 26, 25, 26, 26, 24, 24, 26, 26, 23, 28, 26, 26, 28, 24, 25, 25, 26, 28, 27, 24, 25, 26, 23, 25, 26, 25, 28, 24, 28, 28, 24, 23, 25, 27, 27, 28]
shd dist gies to true=[26, 23, 28, 27, 26, 26, 27, 26, 22, 26, 23, 23, 23, 27, 26, 26, 28, 25, 28, 26, 28, 26, 26, 26, 25, 26, 28, 26, 26, 25, 26, 27, 26, 26, 28, 23, 27, 27, 23, 25, 25, 24, 26, 26, 20, 23, 25, 28, 28, 26, 26, 26, 27, 26, 28, 26, 27, 25, 28, 27, 25, 26, 20, 26, 26, 28, 24, 26, 24, 26, 27, 23, 23, 28, 26, 28, 27, 27, 25, 28, 26, 27, 26, 25, 25, 24, 26, 26, 26, 27, 22, 23, 26, 28, 28, 26, 26, 27, 27, 28]
shd dist ske to true=[22, 26, 23, 28, 27, 27, 28, 28, 25, 20, 25, 24, 26, 26, 21, 21, 28, 25, 25, 23, 24, 26, 27, 26, 27, 23, 27, 27, 27, 26, 27, 23, 25, 23, 26, 26, 25, 28, 22, 27, 28, 23, 24, 24, 24, 25, 26, 25, 27, 25, 26, 27, 27, 24, 25, 21, 26, 23, 28, 27, 26, 27, 24, 26, 24, 26, 23, 23, 25, 27, 21, 24, 28, 25, 25, 28, 28, 24, 26, 23, 27, 24, 24, 28, 26, 22, 28, 26, 27, 28, 28, 22, 27, 26, 23, 23, 28, 23, 27, 26]
shd dist gis_rec_phased_b to true=[26, 23, 28, 27, 26, 26, 27, 26, 22, 26, 23, 23, 23, 27, 26, 26, 28, 25, 28, 26, 28, 26, 26, 26, 25, 26, 28, 26, 26, 25, 26, 27, 26, 26, 28, 23, 27, 27, 23, 25, 25, 24, 26, 26, 20, 23, 25, 28, 28, 26, 26, 26, 27, 26, 28, 26, 27, 25, 28, 27, 25, 26, 20, 26, 26, 28, 24, 26, 24, 26, 27, 23, 23, 28, 26, 28, 27, 27, 25, 28, 26, 27, 26, 25, 25, 24, 26, 26, 26, 27, 22, 23, 26, 28, 28, 26, 26, 27, 27, 28]

score_vector_ges=[-4114.610809399367, -4124.031240789519, -4064.585419952343, -4025.9018558169555, -4094.507565827763, -4104.381383887733, -4133.463511639291, -4041.952244953696, -4139.348045886202, -4089.7749600198304, -4140.9604723382645, -4018.943802286023, -4188.998690829149, -4130.992742559716, -4005.7799878293326, -4067.453582625196, -4076.9825148955165, -4055.2897588376063, -4130.895322710172, -4153.6877027948585, -4088.8686737990097, -4064.7612968074773, -4002.904878630084, -4085.0992023614385, -4058.7766322652587, -4071.300807230225, -4127.688472300418, -4215.781424354657, -3983.768928300243, -4106.218223730204, -4000.309004746582, -4186.932946365365, -4005.076452723109, -4115.982775259163, -4195.807866813615, -4121.864158668424, -4088.187504875744, -4184.8336384738395, -4077.324958428875, -4113.156621225664, -4067.0152803425917, -4083.374371422731, -4093.278325660561, -3994.999090011328, -3988.6521007606993, -4031.142269261808, -4128.137930476587, -4077.223471096667, -4020.477100276354, -4051.6499923248725, -3896.829144474824, -4076.6275062609616, -4066.6051087392366, -3975.029380716237, -4086.698217444387, -3992.6263225795456, -4006.342992687753, -4067.770261966578, -4064.4353147228016, -4050.48321583706, -3998.731924262648, -4037.5037679789257, -3997.8334957015977, -3967.382089100329, -4052.7977702900193, -4140.69316031425, -4079.3382243610135, -3999.904648729382, -4133.621957374402, -4083.897093205704, -4140.54089428388, -4125.5929379495155, -4182.57089986138, -3983.9183326362963, -3974.175191857631, -4065.6096317243732, -4029.894529070701, -4065.6654325875784, -4102.5699684466745, -4041.509665293961, -4100.59696614784, -4004.442057885912, -4170.494261374614, -4082.2169582403503, -3995.0449614850663, -3884.013284322954, -4101.244591247288, -4275.030991931457, -4092.2941000229707, -4060.366683910204, -4172.423157871696, -4044.830586283857, -4009.712566448814, -4017.2622811025203, -3958.291970940386, -4181.301279335499, -4068.6233227575567, -4141.116518425644, -4084.6961220396565, -4108.956784323308]
